"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10","10.5","11","11.5","12","12.5","13","13.5","14","14.5","15","15.5","16","16.5","17","17.5","18","18.5","19","19.5","20","20.5","21","21.5","22","22.5","23","23.5","24"
"OTU17",-0.827207413776651,-0.86846633311976,-0.909725252462869,-0.950984171805978,-0.992243091149087,-1.0335020104922,-1.0747609298353,-1.11601984917841,-1.15727876852152,-1.19853768786463,-1.23979660720774,-1.28105552655085,-1.32231444589396,-1.36357336523707,-1.40483228458018,-1.44609120392329,-1.48735012326639,-1.5286090426095,-1.56986796195261,-1.61112688129572,-1.65238580063883,-1.69364471998194,-1.73490363932505,-1.77616255866816,-1.81742147801127,-1.85868039735438,-1.89993931669748,-1.94119823604059,-1.9824571553837,-2.02371607472681,-2.06497499406992,-2.10623391341303,-2.14749283275614,-2.18875175209925,-2.23001067144236,-2.27126959078547,-2.31252851012857,-2.35378742947168,-2.39504634881479,-2.4363052681579,-2.47756418750101,-2.51882310684412,-2.56008202618723,-2.60134094553034,-2.64259986487345,-2.68385878421656,-2.72511770355966
"OTU18",-1.05643784711636,-1.02303838356063,-0.989638920004913,-0.956239456449192,-0.922839992893471,-0.889440529337749,-0.856041065782028,-0.812625909808606,-0.769210753835184,-0.721789320894682,-0.67436788795418,-0.626946455013677,-0.579525022073175,-0.534787400706171,-0.490049779339168,-0.448890573403497,-0.407731367467825,-0.366572161532154,-0.325412955596483,-0.288440258513178,-0.251467561429873,-0.239613917460769,-0.227760273491664,-0.21590662952256,-0.204052985553455,-0.19219934158435,-0.180345697615246,-0.202646057172585,-0.224946416729924,-0.252939110208336,-0.280931803686749,-0.308924497165162,-0.336917190643575,-0.366720431557359,-0.396523672471142,-0.427684823961454,-0.458845975451766,-0.490007126942078,-0.52116827843239,-0.547695956238243,-0.574223634044096,-0.589167627638802,-0.604111621233507,-0.619055614828213,-0.633999608422918,-0.648943602017624,-0.66388759561233
"OTU19",-2.14624089019035,-2.08010423847448,-2.0139675867586,-1.94783093504273,-1.88169428332685,-1.81555763161097,-1.7494209798951,-1.69067491154806,-1.63192884320103,-1.57613900820152,-1.52034917320202,-1.46455933820252,-1.40876950320302,-1.36227761192463,-1.31578572064625,-1.28169108766269,-1.24759645467913,-1.21350182169558,-1.17940718871202,-1.14916522292925,-1.11892325714649,-1.11179729456849,-1.10467133199049,-1.09754536941249,-1.09041940683448,-1.08329344425648,-1.07616748167848,-1.10382156012261,-1.13147563856674,-1.16492639051456,-1.19837714246238,-1.23182789441019,-1.26527864635801,-1.31400433636086,-1.3627300263637,-1.42291191990782,-1.48309381345194,-1.54327570699606,-1.60345760054018,-1.66405441115034,-1.7246512217605,-1.78628532503575,-1.847919428311,-1.90955353158625,-1.9711876348615,-2.03282173813675,-2.09445584141201
"OTU20",0.231534006336242,0.169751783405405,0.107969560474568,0.0461873375437314,-0.0155948853871054,-0.0773771083179422,-0.139159331248779,-0.194928694539492,-0.250698057830204,-0.304062277264867,-0.357426496699529,-0.410790716134192,-0.464154935568855,-0.500488163593867,-0.536821391618879,-0.550446631097689,-0.5640718705765,-0.57769711005531,-0.591322349534121,-0.603274682484517,-0.615227015434914,-0.617141909214824,-0.619056802994735,-0.620971696774646,-0.622886590554557,-0.624801484334467,-0.626716378114378,-0.611545550178698,-0.596374722243018,-0.578356274021406,-0.560337825799794,-0.542319377578181,-0.524300929356569,-0.499971788199534,-0.475642647042499,-0.446580486183897,-0.417518325325295,-0.388456164466692,-0.35939400360809,-0.329227239978778,-0.299060476349465,-0.266132205793378,-0.233203935237289,-0.200275664681201,-0.167347394125113,-0.134419123569025,-0.101490853012937
"OTU21",-0.572803052756706,-0.590899252616886,-0.608995452477066,-0.627091652337246,-0.645187852197426,-0.663284052057606,-0.681380251917786,-0.771136903169518,-0.86089355442125,-0.979314386229603,-1.09773521803796,-1.21615604984631,-1.33457688165466,-1.43542981375204,-1.53628274584942,-1.61371181166549,-1.69114087748157,-1.76856994329764,-1.84599900911371,-1.91528070788491,-1.9845624066561,-2.00495990315802,-2.02535739965994,-2.04575489616186,-2.06615239266378,-2.08654988916569,-2.10694738566761,-2.10809473644313,-2.10924208721866,-2.10718108037311,-2.10512007352757,-2.10305906668202,-2.10099805983648,-2.08291603550109,-2.06483401116571,-2.03473622371295,-2.00463843626019,-1.97454064880743,-1.94444286135467,-1.89495336747794,-1.8454638736012,-1.74749511366453,-1.64952635372785,-1.55155759379117,-1.4535888338545,-1.35562007391782,-1.25765131398115
"OTU22",-0.772381237183841,-0.774273594457552,-0.776165951731264,-0.778058309004975,-0.779950666278687,-0.781843023552398,-0.783735380826109,-0.785627738099821,-0.787520095373532,-0.789412452647244,-0.791304809920955,-0.793197167194666,-0.795089524468378,-0.796981881742089,-0.798874239015801,-0.800766596289512,-0.802658953563224,-0.804551310836935,-0.806443668110646,-0.808336025384358,-0.810228382658069,-0.812120739931781,-0.814013097205492,-0.815905454479203,-0.817797811752915,-0.819690169026626,-0.821582526300338,-0.823474883574049,-0.82536724084776,-0.827259598121472,-0.829151955395183,-0.831044312668895,-0.832936669942606,-0.834829027216318,-0.836721384490029,-0.83861374176374,-0.840506099037452,-0.842398456311163,-0.844290813584875,-0.846183170858586,-0.848075528132297,-0.849967885406009,-0.85186024267972,-0.853752599953432,-0.855644957227143,-0.857537314500854,-0.859429671774566
"OTU23",0.113279744217396,0.0814841878275905,0.0496886314377846,0.0178930750479786,-0.0139024813418273,-0.0456980377316333,-0.0774935941214392,-0.109289150511245,-0.141084706901051,-0.172880263290857,-0.204675819680663,-0.236471376070469,-0.268266932460275,-0.300062488850081,-0.331858045239887,-0.363653601629693,-0.395449158019499,-0.427244714409305,-0.459040270799111,-0.490835827188917,-0.522631383578723,-0.554426939968528,-0.586222496358334,-0.61801805274814,-0.649813609137946,-0.681609165527752,-0.713404721917558,-0.745200278307364,-0.77699583469717,-0.808791391086976,-0.840586947476782,-0.872382503866588,-0.904178060256394,-0.9359736166462,-0.967769173036006,-0.999564729425812,-1.03136028581562,-1.06315584220542,-1.09495139859523,-1.12674695498504,-1.15854251137484,-1.19033806776465,-1.22213362415445,-1.25392918054426,-1.28572473693407,-1.31752029332387,-1.34931584971368
"OTU24",-0.47515766837032,-0.473879719362983,-0.472601770355646,-0.471323821348309,-0.470045872340972,-0.468767923333635,-0.467489974326298,-0.46621202531896,-0.464934076311623,-0.463656127304286,-0.462378178296949,-0.461100229289612,-0.459822280282275,-0.458544331274938,-0.457266382267601,-0.455988433260264,-0.454710484252926,-0.453432535245589,-0.452154586238252,-0.450876637230915,-0.449598688223578,-0.448320739216241,-0.447042790208904,-0.445764841201567,-0.44448689219423,-0.443208943186893,-0.441930994179555,-0.440653045172218,-0.439375096164881,-0.438097147157544,-0.436819198150207,-0.43554124914287,-0.434263300135533,-0.432985351128196,-0.431707402120859,-0.430429453113521,-0.429151504106184,-0.427873555098847,-0.42659560609151,-0.425317657084173,-0.424039708076836,-0.422761759069499,-0.421483810062162,-0.420205861054825,-0.418927912047487,-0.41764996304015,-0.416372014032813
"OTU25",-1.70278329969728,-1.71529937059868,-1.72781544150008,-1.74033151240148,-1.75284758330287,-1.76536365420427,-1.77787972510567,-1.80034768464852,-1.82281564419138,-1.84926435919082,-1.87571307419025,-1.90216178918969,-1.92861050418913,-1.95024304614067,-1.9718755880922,-1.98708656597988,-2.00229754386755,-2.01750852175522,-2.0327194996429,-2.04359984189932,-2.05448018415574,-2.03937671262466,-2.02427324109358,-2.00916976956249,-1.99406629803141,-1.97896282650033,-1.96385935496925,-1.92421772489735,-1.88457609482545,-1.84084477166342,-1.79711344850138,-1.75338212533935,-1.70965080217731,-1.65250746162734,-1.59536412107736,-1.52816176748642,-1.46095941389548,-1.39375706030455,-1.32655470671361,-1.25694234694509,-1.18732998717656,-1.11169261196407,-1.03605523675158,-0.960417861539093,-0.884780486326604,-0.809143111114115,-0.733505735901625
"OTU26",0.607986805442258,0.585879102191655,0.563771398941052,0.54166369569045,0.519555992439847,0.497448289189244,0.475340585938641,0.453232882688038,0.431125179437436,0.409017476186833,0.38690977293623,0.364802069685627,0.342694366435024,0.320586663184422,0.298478959933819,0.276371256683216,0.254263553432613,0.23215585018201,0.210048146931407,0.187940443680805,0.165832740430202,0.143725037179599,0.121617333928996,0.0995096306783935,0.0774019274277906,0.0552942241771878,0.033186520926585,0.0110788176759822,-0.0110288855746207,-0.0331365888252234,-0.0552442920758263,-0.0773519953264291,-0.0994596985770319,-0.121567401827635,-0.143675105078238,-0.16578280832884,-0.187890511579443,-0.209998214830046,-0.232105918080649,-0.254213621331252,-0.276321324581854,-0.298429027832457,-0.32053673108306,-0.342644434333663,-0.364752137584266,-0.386859840834868,-0.408967544085471
